domain,path,label,dim
1000aspirines.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\1000aspirines.com,entertainment,2560
15min.org,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\15min.org,entertainment,2560
1forparker.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\1forparker.tripod.com,entertainment,2560
20secondbomb.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\20secondbomb.tripod.com,entertainment,2560
2mcr.org.au,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\2mcr.org.au,entertainment,2560
300blogs.blogspot.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\300blogs.blogspot.com,entertainment,2560
41greystreet.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\41greystreet.tripod.com,entertainment,2560
70shangout.tripod.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\70shangout.tripod.com,entertainment,2560
93khj.blogspot.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\93khj.blogspot.com,entertainment,2560
97xonline.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\97xonline.com,entertainment,2560
absoluteblue.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\absoluteblue.com,entertainment,2560
advaloreminternational.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\advaloreminternational.com,entertainment,2560
afrocubaweb.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\afrocubaweb.com,entertainment,2560
air.org.au,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\air.org.au,entertainment,2560
alistentertainment.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\alistentertainment.com,entertainment,2560
allaboutmarg.com,C:\Users\gaura\OneDrive\Desktop\Project\data\Entertainment_Venues_Activities\allaboutmarg.com,entertainment,2560
